"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Afghanistan,39835428,"981844",180688,"962093",7709,2.4647507239033555,18.402923478678897,0.4536,2.4151692307661414,4.2665
Albania,2872934,"1609775",276415,"1417691",3497,56.03243931117109,17.171033218928113,9.6213,49.346452093922096,1.2651
Algeria,44616626,"230553",265900,"9989662",6875,0.5167423462276148,115.33139885405959,0.5960,22.389998741724664,2.5856
Andorra,77354,"97543",43067,"95918",155,126.09949065335988,44.15180997098715,55.6752,123.99875895234894,0.3599
Angola,33933611,"1618566",99761,"9847459",1900,4.769801834529193,6.1635422960818405,0.2940,29.019779238938053,1.9046
Anguilla,15125,"51382",3294,"6898",9,339.7157024793388,6.410805340391577,21.7785,45.606611570247935,0.2732
Antigua and Barbuda,98728,"7744",8378,"99846",138,7.843772789887367,108.18698347107438,8.4859,101.13240418118468,1.6472
Argentina,45605823,"36663990",9276618,"63492503",128973,80.39322083936518,25.30171429787102,20.3409,139.2201671264654,1.3903
Armenia,2968128,"3102267",423006,"890797",8629,104.51931318325893,13.635383414773777,14.2516,30.012081689199388,2.0399
Aruba,107195,"793",37975,"111807",271,0.7397733103223098,4788.776796973518,35.4261,104.30243947945333,0.7136
Australia,25788217,"72269843",7476425,"57350582",8802,280.2436593425594,10.345151849852503,28.9916,222.39064453350923,0.1177
Austria,9043072,"187125645",4304326,"9893279",19946,2069.270763298136,2.300233086704925,47.5981,109.4017497593738,0.4634
Azerbaijan,10223344,"6901005",792785,"10662451",9713,67.50242386444201,11.487964434165749,7.7547,104.29514061152594,1.2252
Bahamas,396914,"237257",35079,"99755",810,59.77541734481525,14.78523289091576,8.8379,25.132648382269206,2.3091
Bahrain,1748295,"9872348",589809,"2930507",1488,564.6843353095444,5.974353821400948,33.7362,167.62085346008539,0.2523
Bangladesh,166303494,"13788173",1953700,"120972507",29131,8.290970122371572,14.169389954709736,1.1748,72.74201166212418,1.4911
Barbados,287708,"690034",81518,"291089",463,239.83830828478875,11.813620778106586,28.3336,101.17514980466306,0.5680
Belarus,9442867,"9984551",982867,"9714033",6978,105.73643576680685,9.84387780682376,10.4086,102.87164904472338,0.7100
Belgium,11632334,"34126748",4158754,"25395678",31768,293.37833662616634,12.186200689265792,35.7517,218.31971124625545,0.7639
