"location","date","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Africa,"2020-02-13",1373486472,67.0,,0.0,,0.0000048780968263,,,0.0,
Africa,"2020-02-14",1373486472,71.0,1,0.0,,0.0000051693264875,1.4084507042253522,0.0000,0.0,
Africa,"2020-02-15",1373486472,10.0,1,0.0,,0.0000007280741532,10.0,0.0000,0.0,
Africa,"2020-02-16",1373486472,0.0,1,0.0,,0.0,,0.0000,0.0,
Africa,"2020-02-17",1373486472,0.0,1,0.0,,0.0,,0.0000,0.0,
Africa,"2020-02-18",1373486472,0.0,1,0.0,,0.0,,0.0000,0.0,
Africa,"2020-02-19",1373486472,106.0,1,0.0,,0.0000077175860237,0.9433962264150944,0.0000,0.0,
Africa,"2020-02-20",1373486472,106.0,1,0.0,,0.0000077175860237,0.9433962264150944,0.0000,0.0,
Africa,"2020-02-21",1373486472,0.0,1,0.0,,0.0,,0.0000,0.0,
Africa,"2020-02-22",1373486472,12.0,1,0.0,,0.0000008736889838,8.333333333333332,0.0000,0.0,
Africa,"2020-02-23",1373486472,13.0,1,0.0,,0.0000009464963991,7.6923076923076925,0.0000,0.0,
Africa,"2020-02-24",1373486472,130.0,1,0.0,,0.0000094649639913,0.7692307692307693,0.0000,0.0,
Africa,"2020-02-25",1373486472,15.0,2,0.0,,0.0000010921112298,13.333333333333334,0.0000,0.0,
Africa,"2020-02-26",1373486472,138.0,2,0.0,,0.0000100474233138,1.4492753623188406,0.0000,0.0,
Africa,"2020-02-27",1373486472,19.0,2,0.0,,0.000001383340891,10.526315789473683,0.0000,0.0,
Africa,"2020-02-28",1373486472,1.0,3,0.0,,0.0000000728074153,300.0,0.0000,0.0,
Africa,"2020-02-29",1373486472,25.0,3,0.0,,0.0000018201853829,12.0,0.0000,0.0,
Africa,"2020-03-01",1373486472,0.0,4,0.0,,0.0,,0.0000,0.0,
Africa,"2020-03-02",1373486472,189.0,8,0.0,,0.000013760601495,4.232804232804233,0.0000,0.0,
Africa,"2020-03-03",1373486472,200.0,11,0.0,,0.0000145614830635,5.5,0.0000,0.0,
Africa,"2020-03-04",1373486472,1480.0,21,0.0,,0.00010775497467,1.418918918918919,0.0000,0.0,
Africa,"2020-03-05",1373486472,1472.0,24,0.0,,0.0001071725153475,1.6304347826086956,0.0000,0.0,
Africa,"2020-03-06",1373486472,299.0,43,0.0,,0.00002176941718,14.381270903010032,0.0000,0.0,
Africa,"2020-03-07",1373486472,1747.0,43,0.0,,0.0001271945545598,2.4613623354321694,0.0000,0.0,
Africa,"2020-03-08",1373486472,20.0,83,0.0,1,0.0000014561483064,415.00000000000006,0.0000,0.0,1.2048
Africa,"2020-03-09",1373486472,1523.0,91,0.0,1,0.0001108856935287,5.975049244911359,0.0000,0.0,1.0989
Africa,"2020-03-10",1373486472,1532.0,104,0.0,2,0.0001115409602666,6.7885117493472595,0.0000,0.0,1.9231
Africa,"2020-03-11",1373486472,680.0,118,0.0,2,0.000049509042416,17.352941176470587,0.0000,0.0,1.6949
Africa,"2020-03-12",1373486472,2429.0,134,0.0,3,0.0001768492118064,5.516673528200906,0.0000,0.0,2.2388
Africa,"2020-03-13",1373486472,1079.0,176,0.0,6,0.0000785592011277,16.311399443929563,0.0000,0.0,3.4091
Africa,"2020-03-14",1373486472,2649.0,252,0.0,7,0.0001928668431763,9.513023782559456,0.0000,0.0,2.7778
Africa,"2020-03-15",1373486472,1652.0,317,0.0,8,0.0001202778501047,19.188861985472155,0.0000,0.0,2.5237
Africa,"2020-03-16",1373486472,4116.0,404,0.0,8,0.0002996753214472,9.815354713313896,0.0000,0.0,1.9802
Africa,"2020-03-17",1373486472,5087.0,492,0.0,11,0.0003703713217206,9.67171220758797,0.0000,0.0,2.2358
Africa,"2020-03-18",1373486472,5144.0,610,0.0,17,0.0003745213443937,11.858475894245723,0.0000,0.0,2.7869
Africa,"2020-03-19",1373486472,7420.0,788,0.0,20,0.0005402310216565,10.619946091644204,0.0001,0.0,2.5381
Africa,"2020-03-20",1373486472,8710.0,970,0.0,26,0.0006341525874162,11.136624569460391,0.0001,0.0,2.6804
Africa,"2020-03-21",1373486472,9767.0,1170,0.0,35,0.0007111100254069,11.97911334084161,0.0001,0.0,2.9915
